@relation combination7406216655908012500.netflow

@attribute time {'2011/08/16 10:04:03.820235','2011/08/16 10:02:54.155092','2011/08/16 10:09:39.012397','2011/08/16 10:01:46.972101','2011/08/16 10:01:46.976831','2011/08/16 10:01:46.997859','2011/08/16 10:01:47.118027','2011/08/16 10:01:47.220522','2011/08/16 10:01:47.358447','2011/08/16 10:01:47.361165','2011/08/16 10:01:47.522030','2011/08/16 10:01:47.784061','2011/08/16 10:01:47.875828','2011/08/16 10:01:47.881681','2011/08/16 10:01:47.944586','2011/08/16 10:01:49.554853','2011/08/16 10:01:49.821597','2011/08/16 10:01:50.272518','2011/08/16 10:01:51.841677','2011/08/16 10:01:51.996482','2011/08/16 10:01:52.087797','2011/08/16 10:01:52.096462','2011/08/16 10:01:52.099747','2011/08/16 10:01:53.432706','2011/08/16 10:01:54.345476','2011/08/16 10:01:55.508783','2011/08/16 10:01:56.597500','2011/08/16 10:01:59.104074','2011/08/16 10:02:00.049543','2011/08/16 10:02:02.201355','2011/08/16 10:02:02.959829','2011/08/16 10:02:05.653137','2011/08/16 10:02:08.703460','2011/08/16 10:02:08.872739','2011/08/16 10:02:09.185119','2011/08/16 10:02:10.000702','2011/08/16 10:02:10.438779','2011/08/16 10:02:12.053136','2011/08/16 10:02:24.875564','2011/08/16 10:02:50.237742','2011/08/16 10:02:52.057862','2011/08/16 10:02:56.472135','2011/08/16 10:06:13.415198','2011/08/16 10:07:12.253948','2011/08/16 10:09:58.055700','2011/08/16 10:10:00.385281','2011/08/16 10:18:07.235783','2011/08/16 10:20:32.448398','2011/08/16 10:26:51.686433','2011/08/16 10:50:25.183793','2011/08/16 11:53:24.272627','2011/08/18 15:40:53.826372','2011/08/18 15:41:09.668712','2011/08/18 15:42:40.272158','2011/08/18 15:47:46.924234','2011/08/18 15:39:35.087798','2011/08/18 15:39:35.096399','2011/08/18 15:39:35.100918','2011/08/18 15:39:35.106287','2011/08/18 15:39:35.111842','2011/08/18 15:39:35.119697','2011/08/18 15:39:35.144260','2011/08/18 15:39:35.237376','2011/08/18 15:39:35.244909','2011/08/18 15:39:35.248665','2011/08/18 15:39:35.437618','2011/08/18 15:39:36.514328','2011/08/18 15:39:37.103929','2011/08/18 15:39:37.558329','2011/08/18 15:39:38.970847','2011/08/18 15:39:39.196228','2011/08/18 15:39:39.861486','2011/08/18 15:39:39.889437','2011/08/18 15:39:41.250359','2011/08/18 15:39:41.378402','2011/08/18 15:39:41.378410','2011/08/18 15:39:41.378414','2011/08/18 15:39:41.522337','2011/08/18 15:39:43.018830','2011/08/18 15:39:43.929455','2011/08/18 15:39:44.491238','2011/08/18 15:39:46.187740','2011/08/18 15:39:47.299525','2011/08/18 15:39:48.664894','2011/08/18 15:39:49.989677','2011/08/18 15:39:50.978522','2011/08/18 15:39:52.055985','2011/08/18 15:39:54.517312','2011/08/18 15:39:57.993138','2011/08/18 15:40:04.301305','2011/08/18 15:41:04.442286','2011/08/18 15:41:33.560823','2011/08/18 15:45:36.773252','2011/08/18 15:47:57.983212','2011/08/18 15:48:00.252763','2011/08/18 15:48:02.477619','2011/08/18 15:48:04.212893','2011/08/18 15:48:06.461592','2011/08/18 15:48:07.410957','2011/08/18 15:48:07.547082','2011/08/18 15:48:09.222926','2011/08/18 15:48:09.802729','2011/08/18 15:48:12.636811','2011/08/18 15:48:43.345012','2011/08/18 15:49:10.469470','2011/08/18 15:49:23.599103','2011/08/18 15:52:44.348206','2011/08/18 15:52:55.096282','2011/08/18 15:53:14.601089','2011/08/19 10:32:31.926442','2011/08/19 10:38:48.257124','2011/08/19 10:58:06.872596','2011/08/19 10:49:02.309056','2011/08/19 10:32:11.293025','2011/08/19 10:32:11.294683','2011/08/19 10:32:11.317740','2011/08/19 10:32:11.344718','2011/08/19 10:32:11.355520','2011/08/19 10:32:11.452126','2011/08/19 10:32:11.590977','2011/08/19 10:32:11.949528','2011/08/19 10:32:12.545842','2011/08/19 10:32:12.570332','2011/08/19 10:32:12.592450','2011/08/19 10:32:15.493251','2011/08/19 10:32:15.510924','2011/08/19 10:32:17.245284','2011/08/19 10:32:17.475424','2011/08/19 10:32:17.759782','2011/08/19 10:32:18.134836','2011/08/19 10:32:21.002157','2011/08/19 10:32:24.023611','2011/08/19 10:32:28.586847','2011/08/19 10:32:31.320623','2011/08/19 10:32:31.415469','2011/08/19 10:32:54.627015','2011/08/19 10:33:08.557604','2011/08/19 10:36:10.442191','2011/08/19 10:39:05.686242','2011/08/19 10:42:24.940312','2011/08/19 10:42:27.245200','2011/08/19 10:42:29.697907','2011/08/19 10:42:30.296930','2011/08/19 10:42:34.547635','2011/08/19 10:43:12.304688','2011/08/19 10:43:13.114839','2011/08/19 10:43:30.032402','2011/08/19 10:44:22.855075','2011/08/19 10:44:27.061517','2011/08/19 10:45:44.019265','2011/08/19 10:45:56.248251','2011/08/19 10:46:31.897734','2011/08/19 10:47:11.404349','2011/08/19 10:47:13.657196','2011/08/19 10:47:16.130204','2011/08/19 10:47:16.891826','2011/08/19 10:47:56.104230','2011/08/19 10:47:56.749244','2011/08/19 10:48:49.033727','2011/08/19 10:48:50.744935','2011/08/19 10:49:45.093730','2011/08/19 10:49:47.445070','2011/08/19 10:49:49.830697','2011/08/19 10:49:50.060565','2011/08/19 10:50:57.499718','2011/08/19 10:51:18.450019','2011/08/19 10:51:24.996843','2011/08/19 10:52:27.759371','2011/08/19 10:52:29.315152','2011/08/19 10:54:06.021354','2011/08/19 10:54:11.528606','2011/08/19 10:55:13.494895','2011/08/19 10:55:43.147764','2011/08/19 10:55:43.549145','2011/08/19 11:05:55.601372','2011/08/19 11:07:01.587340','2011/08/19 11:07:03.058921','2011/08/19 11:08:07.460846','2011/08/19 11:22:35.019378','2011/08/19 11:38:38.996506','2011/08/19 11:41:42.347856'}
@attribute duration numeric
@attribute protocol {tcp,udp,icmp,arp}
@attribute ipSrc {67.210.234.162,147.32.84.59,193.29.55.22,88.176.79.163,90.178.10.8,147.32.80.13,147.32.86.165,147.32.84.134,147.32.80.9,147.32.87.22,147.32.85.75,147.32.86.147,195.24.233.25,94.0.247.147,89.176.81.250,147.32.84.138,69.63.181.105,74.125.232.200,147.32.87.252,66.249.66.10,147.32.84.164,147.32.84.170,147.32.85.23,74.125.232.195,74.125.232.207,147.32.84.68,147.32.86.131,147.32.84.165,74.125.232.216,147.32.86.96,147.32.85.7,147.32.84.21,192.168.85.113,147.32.87.249,147.32.87.11,147.32.87.36,76.76.172.248,147.32.3.51,109.144.218.203,124.244.138.41,147.32.84.202,74.125.232.201,147.32.85.8,147.32.84.229,188.226.9.56,147.32.85.123,147.32.84.28,147.32.84.5,74.125.232.202,74.125.232.213,67.195.115.95,147.32.86.74,74.125.232.193,147.32.84.184,147.32.86.179,74.125.232.199,74.125.39.125,147.32.84.118,147.32.84.216,147.32.84.191,147.32.84.192,147.32.86.194,60.2.174.102,195.94.242.147,98.27.131.242,219.84.184.25,83.145.197.2,147.32.86.58,74.125.232.206,147.32.86.176,209.85.148.17,63.245.209.93,66.249.66.211,74.125.232.196,147.32.84.123,95.65.17.47,69.104.66.134,147.32.85.20,93.103.254.175}
@attribute portSrc {3597,49158,32791,49213,61997,80,60487,38483,53,1024,123,58198,0x0103,60477,0x0303,60508,60529,60624,5222,443,3226,60627,60640,41674,41679,54215,58630,65312,41320,1025,1039,49354,56432,42451,36002,58987,49280,4631,50452,1040,1044,57827,41820,1123,2974,63577,4403,54487,14359,1078,57264,39842,13363,1955,47524,56781,43202,49278,50518,57238,49332,2697,47226,49310,52942,39881,58904,41226,54325,57994,49322,32844,43104,49367,2050,47837,47491,1027,38337,1037,1038,58804,0x0011,0x000d,4207,49539,49193,11256,48225,48782,60177,59291,1458,514,35715,38547,51162,54467,45558,2150,55416,50390,1030,1049,1052,1111,1137,1140,35792,1162,61691,1051,1151,1157,1103,1122,1135,59705,50899,46527,52394,33180,1181,35507,52376,37498,1165,54498,35627}
@attribute dir {'   ->','  <?>','  <->','   ?>','  who','  <-'}
@attribute ipDest {147.32.86.98,147.32.80.7,147.32.84.229,147.32.84.172,147.32.84.162,74.125.232.193,74.125.39.125,147.32.87.22,147.32.80.9,216.129.110.22,74.125.232.213,147.32.84.164,147.32.84.59,147.32.86.44,147.32.80.13,74.125.232.196,74.125.232.197,74.125.232.199,147.32.84.134,147.32.84.184,74.125.232.194,74.125.232.198,74.125.232.202,147.32.87.36,74.125.232.200,74.125.232.203,147.32.84.118,74.125.232.192,74.125.232.201,195.113.232.73,147.32.84.170,74.125.232.205,82.208.56.89,74.125.232.206,74.125.232.204,74.125.39.108,209.85.149.95,147.32.87.11,147.32.87.1,147.32.192.13,91.212.135.158,65.55.88.22,207.200.96.138,195.113.232.90,192.168.88.148,65.55.56.40,147.32.84.46,65.54.89.106,64.12.68.227,74.125.232.195,85.230.179.76,147.32.87.223,81.27.192.20,205.188.17.129,147.32.85.5,74.125.232.207,147.32.85.7,147.32.86.122,147.32.84.21,74.125.108.199,78.40.125.4,38.229.70.20,216.155.130.130,147.32.96.69,77.75.73.9,147.32.85.48,147.32.84.202,67.212.77.13,65.55.50.73,147.32.84.138,174.143.207.151,147.32.86.135,74.125.232.130,173.194.1.21,115.206.29.133,117.21.224.232,195.113.232.81,221.123.176.126,221.123.176.75,221.123.176.120,147.32.84.165,74.125.232.139,119.42.233.242,221.123.176.74,173.194.1.29,122.225.108.250,147.32.84.192,147.32.84.191}
@attribute portDest {80,13363,18250,50342,5222,1024,53,123,443,35386,0x5e00,10966,0xae0b,52238,37698,35071,49719,35416,27001,5678,25,2869,10010,43087,3121,32792,35188,55716,50633,52316,8085,53255,42102,40206,51526,0x0002,48728,6667,21885,52376,51036,57422,2990,40701,33155,3554,42211,0xb01d,82,9567,555,32234,10986,31037,29676}
@attribute state {S_RA,SRPA_FSPA,SR_SA,A_PA,CON,PA_A,FPA_FPA,PA_PA,INT,FPA_FA,URH,URP,FSRPA_SPA,FSPA_FSRPA,FA_FA,FSPA_FSPA,FA_FRA,SPA_FSPA,S_,FRA_,_FSA,FSRPAC_FSPA,SRPA_SPA,RA_,RPA_FPA,PA_RPA,FA_A,PA_RA,FPA_FRPA,FA_FPA,RED,SPA_SPA,MAS,TST,SR_A,FSRPA_FSPA,FPA_FSPA,RPA_PA,FSA_FPA,SPA_SRPA}
@attribute tos numeric
@attribute TosDest numeric
@attribute numPack numeric
@attribute totNumByt numeric
@attribute srcNumByt numeric
@attribute label {flow=Background,flow=From-Background,flow=From-Normal,flow=To-Background,flow=From-Botnet,flow=To-Normal,flow=Normal}

@data
'2011/08/16 10:04:03.820235',0.286751,tcp,67.210.234.162,3597,'   ->',147.32.86.98,80,S_RA,0,0,4,244,124,flow=Background
'2011/08/16 10:02:54.155092',138.123184,tcp,147.32.84.59,49158,'   ->',147.32.80.7,80,SRPA_FSPA,0,0,12,2636,638,flow=Background
'2011/08/16 10:09:39.012397',1.247309,tcp,193.29.55.22,32791,'   ->',147.32.84.229,13363,SR_SA,0,0,3,216,138,flow=Background
'2011/08/16 10:01:46.972101',3599.986572,tcp,88.176.79.163,49213,'  <?>',147.32.84.172,18250,A_PA,0,0,414671,415389446,10150692,flow=Background
'2011/08/16 10:01:46.976831',0.000467,udp,90.178.10.8,61997,'  <->',147.32.84.229,13363,CON,0,0,2,236,174,flow=Background
'2011/08/16 10:01:46.997859',3599.975342,tcp,147.32.80.13,80,'  <?>',147.32.84.162,50342,PA_A,0,0,76970,61739534,60220574,flow=From-Background
'2011/08/16 10:01:47.118027',3.843749,tcp,147.32.86.165,60487,'  <?>',74.125.232.193,80,FPA_FPA,0,0,32,21956,20101,flow=Background
'2011/08/16 10:01:47.220522',3570.773438,tcp,147.32.84.134,38483,'  <?>',74.125.39.125,5222,PA_PA,0,0,806,197094,65149,flow=From-Normal
'2011/08/16 10:01:47.358447',0,udp,147.32.80.9,53,'   ->',147.32.87.22,1024,INT,0,?,1,213,213,flow=From-Normal
'2011/08/16 10:01:47.361165',0.319234,udp,147.32.87.22,1024,'  <->',147.32.80.9,53,CON,0,0,2,283,94,flow=To-Background
'2011/08/16 10:01:47.522030',3538.0271,udp,147.32.85.75,123,'  <->',216.129.110.22,123,CON,0,0,112,10080,5040,flow=Background
'2011/08/16 10:01:47.784061',1414.763306,tcp,147.32.86.147,58198,'  <?>',74.125.232.213,443,FPA_FPA,0,0,214,109389,70490,flow=Background
'2011/08/16 10:01:47.875828',64.596268,tcp,195.24.233.25,80,'  <?>',147.32.84.164,35386,FPA_FA,0,0,1059,1114157,1095479,flow=To-Background
'2011/08/16 10:01:47.881681',619.585266,icmp,94.0.247.147,0x0103,'   ->',147.32.84.59,0x5e00,URH,0,?,6,1062,1062,flow=Background
'2011/08/16 10:01:47.944586',4.041682,udp,89.176.81.250,60477,'   ->',147.32.86.44,10966,INT,0,?,2,284,284,flow=Background
'2011/08/16 10:01:49.554853',3599.148682,icmp,147.32.84.138,0x0303,'   ->',147.32.80.13,0xae0b,URP,0,?,3355,1865505,1865505,flow=To-Background
'2011/08/16 10:01:49.821597',7.646966,tcp,147.32.86.165,60508,'   ->',74.125.232.196,443,FSRPA_SPA,0,0,14,3608,886,flow=Background
'2011/08/16 10:01:50.272518',304.295227,tcp,147.32.86.165,60529,'   ->',74.125.232.197,80,FSPA_FSRPA,0,0,14,3528,2324,flow=Background
'2011/08/16 10:01:51.841677',477.910431,tcp,147.32.86.165,60624,'   ->',74.125.232.199,80,FSPA_FSRPA,0,0,24,13098,2554,flow=Background
'2011/08/16 10:01:51.996482',3571.190186,tcp,69.63.181.105,5222,'  <?>',147.32.84.134,52238,PA_PA,0,0,1071,150812,85242,flow=To-Background
'2011/08/16 10:01:52.087797',3575.366455,tcp,74.125.232.200,443,'  <?>',147.32.84.184,37698,PA_PA,0,0,774,202613,43116,flow=Background
'2011/08/16 10:01:52.096462',0.010495,tcp,147.32.87.252,3226,'  <?>',74.125.232.194,80,FA_FA,0,0,3,180,120,flow=Background
'2011/08/16 10:01:52.099747',492.477783,tcp,147.32.86.165,60627,'   ->',74.125.232.198,80,FSPA_FSRPA,0,0,35,23943,3708,flow=Background
'2011/08/16 10:01:53.432706',477.271667,tcp,147.32.86.165,60640,'   ->',74.125.232.202,80,FSPA_FSRPA,0,0,23,11638,10338,flow=Background
'2011/08/16 10:01:54.345476',2.559966,tcp,66.249.66.10,41674,'   ->',147.32.87.36,80,FSPA_FSPA,0,0,16,6475,954,flow=To-Background
'2011/08/16 10:01:55.508783',61.623325,tcp,147.32.84.164,41679,'  <?>',74.125.232.200,80,FA_FA,0,0,8,528,264,flow=From-Normal
'2011/08/16 10:01:56.597500',0.000402,udp,147.32.84.170,54215,'  <->',147.32.80.9,53,CON,0,0,2,400,74,flow=From-Normal
'2011/08/16 10:01:59.104074',108.119583,tcp,147.32.85.23,58630,'  <?>',74.125.232.203,80,FPA_FPA,0,0,12,4545,3291,flow=Background
'2011/08/16 10:02:00.049543',3598.799805,tcp,74.125.232.195,443,'  <?>',147.32.84.184,35071,PA_PA,0,0,410,75473,25699,flow=Background
'2011/08/16 10:02:02.201355',1685.347534,tcp,74.125.232.207,80,'  <?>',147.32.84.118,49719,FPA_FPA,0,0,202,73859,16942,flow=Background
'2011/08/16 10:02:02.959829',341.623871,tcp,147.32.84.68,65312,'   ->',74.125.232.192,80,SRPA_FSPA,0,0,10,2725,1732,flow=Background
'2011/08/16 10:02:05.653137',204.432632,tcp,147.32.86.131,41320,'  <?>',74.125.232.201,80,FA_FRA,0,0,14,918,462,flow=Background
'2011/08/16 10:02:08.703460',0.167688,udp,147.32.84.165,1025,'  <->',147.32.80.9,53,CON,0,0,2,505,78,flow=From-Botnet
'2011/08/16 10:02:08.872739',500.003357,tcp,147.32.84.165,1039,'   ->',195.113.232.73,80,SPA_FSPA,0,0,14,5498,531,flow=From-Botnet
'2011/08/16 10:02:09.185119',3588.339844,tcp,74.125.232.216,443,'  <?>',147.32.84.170,35416,PA_PA,0,0,608,184714,72327,flow=To-Background
'2011/08/16 10:02:10.000702',150.072586,tcp,147.32.86.131,49354,'  <?>',74.125.232.205,80,FA_FA,0,0,12,792,396,flow=Background
'2011/08/16 10:02:10.438779',3583.526611,udp,147.32.86.96,56432,'  <->',82.208.56.89,123,CON,0,0,226,20340,10170,flow=To-Normal
'2011/08/16 10:02:12.053136',250.106461,tcp,147.32.86.131,42451,'   ->',74.125.232.206,443,SRPA_FSPA,0,0,31,4933,1539,flow=Background
'2011/08/16 10:02:24.875564',109.347946,tcp,147.32.85.7,36002,'  <?>',74.125.232.204,80,FA_FA,0,0,9,594,330,flow=Background
'2011/08/16 10:02:50.237742',3.008535,tcp,147.32.84.21,58987,'   ->',74.125.39.108,?,S_,0,?,2,148,148,flow=Background
'2011/08/16 10:02:52.057862',18.899042,tcp,192.168.85.113,49280,'   ?>',209.85.149.95,80,FRA_,0,?,7,420,420,flow=Background
'2011/08/16 10:02:56.472135',0.002083,tcp,147.32.87.249,4631,'   ->',147.32.87.11,27001,_FSA,?,0,6,364,0,flow=To-Background
'2011/08/16 10:06:13.415198',3599.956055,arp,147.32.87.11,?,'  who',147.32.87.1,?,CON,?,?,14,840,420,flow=From-Normal
'2011/08/16 10:07:12.253948',31.156179,tcp,147.32.84.59,50452,'   ->',147.32.192.13,443,FSRPAC_FSPA,0,0,36,17419,2436,flow=Background
'2011/08/16 10:09:58.055700',1.896288,tcp,147.32.84.165,1040,'   ->',91.212.135.158,5678,FSPA_FSPA,0,0,1417,1255401,32823,flow=From-Botnet
'2011/08/16 10:10:00.385281',3.000842,tcp,147.32.84.165,1044,'   ->',65.55.88.22,25,S_,0,?,2,124,124,flow=From-Botnet
'2011/08/16 10:18:07.235783',0.000373,udp,147.32.87.36,57827,'  <->',147.32.80.9,53,CON,0,0,2,210,80,flow=From-Normal
'2011/08/16 10:20:32.448398',4.364099,tcp,147.32.85.7,41820,'   ->',207.200.96.138,80,SRPA_SPA,0,0,268,249001,6316,flow=Normal
'2011/08/16 10:26:51.686433',60.00304,tcp,147.32.84.165,1123,'   ->',195.113.232.90,80,SRPA_SPA,0,0,8,1687,500,flow=From-Botnet
'2011/08/16 10:50:25.183793',9.013207,tcp,147.32.84.165,2974,'   ->',192.168.88.148,2869,S_,0,?,3,186,186,flow=From-Botnet
'2011/08/16 11:53:24.272627',0,udp,147.32.84.165,123,'   ->',65.55.56.40,123,INT,0,?,1,90,90,flow=From-Botnet
'2011/08/18 15:40:53.826372',2.983247,tcp,76.76.172.248,63577,'   ->',147.32.84.229,13363,SR_SA,0,0,3,184,122,flow=Background
'2011/08/18 15:41:09.668712',1.077735,tcp,147.32.3.51,4403,'   ->',147.32.84.46,10010,S_RA,0,0,4,244,124,flow=Background
'2011/08/18 15:42:40.272158',4.178993,tcp,109.144.218.203,54487,'   ->',147.32.84.59,43087,S_RA,0,0,4,252,132,flow=Background
'2011/08/18 15:47:46.924234',0,tcp,124.244.138.41,14359,'   ?>',147.32.84.59,3121,RA_,0,0,1,60,60,flow=Background
'2011/08/18 15:39:35.087798',83.062141,tcp,147.32.84.202,1078,'  <?>',65.54.89.106,80,RPA_FPA,0,0,43065,40974671,1033777,flow=Background
'2011/08/18 15:39:35.096399',969.978516,tcp,147.32.84.164,57264,'  <?>',64.12.68.227,443,PA_RPA,0,0,53,4279,1791,flow=From-Normal
'2011/08/18 15:39:35.100918',931.97052,tcp,74.125.232.201,80,'  <?>',147.32.84.170,32792,PA_PA,0,0,147,74900,13404,flow=To-Background
'2011/08/18 15:39:35.106287',60.918018,tcp,147.32.85.8,39842,'  <?>',74.125.232.195,80,FA_FA,0,0,8,528,264,flow=Background
'2011/08/18 15:39:35.111842',938.043274,udp,147.32.84.229,13363,'  <->',85.230.179.76,35188,CON,0,0,43,8328,4371,flow=Background
'2011/08/18 15:39:35.119697',971.17395,tcp,147.32.80.13,80,'  <?>',147.32.87.223,55716,PA_A,0,0,25374,17175122,16338440,flow=From-Background
'2011/08/18 15:39:35.144260',0,udp,188.226.9.56,1955,'   ->',147.32.84.229,13363,INT,0,?,1,60,60,flow=Background
'2011/08/18 15:39:35.237376',0.000286,udp,147.32.85.123,47524,'  <->',147.32.80.9,53,CON,0,0,2,240,77,flow=To-Background
'2011/08/18 15:39:35.244909',0.000118,tcp,147.32.84.28,56781,'  <?>',147.32.80.13,80,FA_A,0,0,2,132,66,flow=To-Background
'2011/08/18 15:39:35.248665',940.135376,udp,147.32.84.5,43202,'  <->',81.27.192.20,123,CON,0,0,60,5400,2700,flow=Background
'2011/08/18 15:39:35.437618',203.540985,tcp,147.32.84.21,49278,'  <?>',209.85.149.95,80,FA_FA,0,0,14,924,462,flow=Background
'2011/08/18 15:39:36.514328',69.51123,tcp,147.32.85.8,50518,'  <?>',74.125.232.201,80,FA_FRA,0,0,8,522,264,flow=Background
'2011/08/18 15:39:37.103929',949.453613,tcp,74.125.232.202,443,'  <?>',147.32.84.184,50633,PA_PA,0,0,231,68449,17948,flow=Background
'2011/08/18 15:39:37.558329',265.884674,tcp,147.32.84.134,57238,'  <?>',205.188.17.129,443,PA_RA,0,0,17,1020,480,flow=From-Normal
