time,duration,protocol,ipSrc,portSrc,dir,ipDest,portDest,state,tos,TosDest,numPack,totNumByt,srcNumByt,label
2011/08/16 10:04:03.820235,0.286751,tcp,67.210.234.162,3597,   ->,147.32.86.98,80,S_RA,0,0,4,244,124,flow=Background-TCP-Attempt
2011/08/16 10:02:54.155092,138.123184,tcp,147.32.84.59,49158,   ->,147.32.80.7,80,SRPA_FSPA,0,0,12,2636,638,flow=Background-Established-cmpgw-CVUT
2011/08/16 10:09:39.012397,1.247309,tcp,193.29.55.22,32791,   ->,147.32.84.229,13363,SR_SA,0,0,3,216,138,flow=Background-TCP-Established
2011/08/16 10:01:46.972101,3599.986572,tcp,88.176.79.163,49213,  <?>,147.32.84.172,18250,A_PA,0,0,414671,415389446,10150692,flow=Background
2011/08/16 10:01:46.976831,0.000467,udp,90.178.10.8,61997,  <->,147.32.84.229,13363,CON,0,0,2,236,174,flow=Background-UDP-Established
2011/08/16 10:01:46.997859,3599.975342,tcp,147.32.80.13,80,  <?>,147.32.84.162,50342,PA_A,0,0,76970,61739534,60220574,flow=From-Background-CVUT-Proxy
2011/08/16 10:01:47.118027,3.843749,tcp,147.32.86.165,60487,  <?>,74.125.232.193,80,FPA_FPA,0,0,32,21956,20101,flow=Background-google-analytics2
2011/08/16 10:01:47.220522,3570.773438,tcp,147.32.84.134,38483,  <?>,74.125.39.125,5222,PA_PA,0,0,806,197094,65149,flow=From-Normal-V47-Jist
2011/08/16 10:01:47.358447,0.000000,udp,147.32.80.9,53,   ->,147.32.87.22,1024,INT,0,,1,213,213,flow=From-Normal-V47-UDP-CVUT-DNS-Server
2011/08/16 10:01:47.361165,0.319234,udp,147.32.87.22,1024,  <->,147.32.80.9,53,CON,0,0,2,283,94,flow=To-Background-UDP-CVUT-DNS-Server
2011/08/16 10:01:47.522030,3538.027100,udp,147.32.85.75,123,  <->,216.129.110.22,123,CON,0,0,112,10080,5040,flow=Background-UDP-NTP-Established-1
2011/08/16 10:01:47.784061,1414.763306,tcp,147.32.86.147,58198,  <?>,74.125.232.213,443,FPA_FPA,0,0,214,109389,70490,flow=Background-google-webmail
2011/08/16 10:01:47.875828,64.596268,tcp,195.24.233.25,80,  <?>,147.32.84.164,35386,FPA_FA,0,0,1059,1114157,1095479,flow=To-Background-Grill
2011/08/16 10:01:47.881681,619.585266,icmp,94.0.247.147,0x0103,   ->,147.32.84.59,0x5e00,URH,0,,6,1062,1062,flow=Background-Attempt-cmpgw-CVUT
2011/08/16 10:01:47.944586,4.041682,udp,89.176.81.250,60477,   ->,147.32.86.44,10966,INT,0,,2,284,284,flow=Background-UDP-Attempt
2011/08/16 10:01:49.554853,3599.148682,icmp,147.32.84.138,0x0303,   ->,147.32.80.13,0xae0b,URP,0,,3355,1865505,1865505,flow=To-Background-CVUT-Proxy
2011/08/16 10:01:49.821597,7.646966,tcp,147.32.86.165,60508,   ->,74.125.232.196,443,FSRPA_SPA,0,0,14,3608,886,flow=Background-google-analytics5
2011/08/16 10:01:50.272518,304.295227,tcp,147.32.86.165,60529,   ->,74.125.232.197,80,FSPA_FSRPA,0,0,14,3528,2324,flow=Background-google-analytics6
2011/08/16 10:01:51.841677,477.910431,tcp,147.32.86.165,60624,   ->,74.125.232.199,80,FSPA_FSRPA,0,0,24,13098,2554,flow=Background-google-analytics8
